indicator_code,definition,guidance
001006027,公司PUE与行业或同行其他公司的PUE的比较结果,"企业披露企业自身的PUE与同行业的平均，标准或其他同行企业的PUE的比较结果，以显示在同行中的能耗水平。
和用水的行业对标一样，有企业与行业之间的对比即可。"
001006028,公司为了减少环境污染及对气候变化的影响而对替代燃料进行研究并进行燃料的绿色化替代项目开展情况,"需要出现关键词“替代燃料”，企业如有以下表述之一即可摘录：
1. 企业披露已有关于使用替代燃料的研究，并有运用替代燃料的规划
2. 企业披露已进行替代燃料的使用，并有不断优化替代燃料占比的规划
3. 企业披露使用替代燃料的案例及措施及相应的环境效益
4. 该指标一般常见于水泥熟料生产、电力、金属冶炼、交通运输、航空业

背景知识：
传统的水泥熟料和金属冶炼的烧制过程需要燃烧大量的煤炭来提供能量，以及航空及其他交通运输等行业需要燃烧航空煤油、柴油等提供动力，这些燃烧活动伴随着产生大量温室气体排放。摒弃传统燃料的使用，使用更加清洁的替代能源，对降低温室气体排放量有重要作用。
 比如，在水泥熟料的烧制过程，通过使用生活和工业废弃物（废轮胎、塑料、生活垃圾等）以及生物质等替代燃料，减少使用煤炭作为燃料。航空业减少使用由原油加工得到的航空煤油作为发动机燃料，更多航空生物燃料（航空生物燃料，一般由传统航空煤油与动植物油脂或农林废弃物等生物质原料以一定比例混合得到）"
001006029,公司在房地产开发及服务阶段的智能能效管理系统的采用情况,"企业披露了在房地产开发及服务阶段使用智能能效管理系统的情况，如有满足以下信息要求即可摘录：
1. 企业在设计阶段开发阶段已将智能能效管理系统纳入项目开发内容
2. 企业已建立智能能效管理系统，并在有效实施
注意：
1. 智能能效系统应为长期的而非一次性的
2. 一般企业可能也会有例如BMS,EMS，跟management system相关的都可能涉及，需要检查是否符合摘录要求。"
001007001,公司在温室气体排放管理方面的政策,"企业需要披露减少温室气体排放的管理方针、政策或承诺。
温室气体：常见的温室气体有二氧化碳（CO2），甲烷（CH4），一氧化二氮（N2O）等
注意：
1. 相关的方针要明确地指向减少温室气体排放，低碳，或是缓解气候变化/全球变暖。
2. 在环境类政策指标点仅提到符合或遵守相关法律法规的要求不可接受

管理政策类：
包括相关的规定，原则，承诺，实施办法，企业的立场和态度等；长期有效，对于当下和未来有广泛的指导意义；通常在相关章节开头，较为简洁。"
001007002,公司制定的有时间线的温室气体减排目标,"企业需要披露限定时间范围内减少温室气体排放的绩效目标。
例如量化目标：XX 年企业温室气体年度排放减量目标为X吨二氧化碳当量/X%。),
非量化目标：XX年度内减少温室气体排放）。

目标类：
目标可以是量化形式（有具体目标数值），也可以是非量化形式（无具体目标数值），但必须要有时间限制（结束时间）；
有多个目标的情况下都需摘录"
001007003,公司制定的有时间线的温室气体减排目标的执行情况,"企业需要披露已有的目标的执行进度，可以是量化的进度（有具体数值，例如减少了8%），也可以是非量化的进度（例如披露“已达成“或“√” “×”），其重点在于考察企业对于已经制定的目标的持续跟进。
注意：
1. 摘录时尽量连同摘录进展所对应的目标本身，如果只有进展没有相关目标，则不接受。
例如XX年企业二氧化碳排放总量为 581.537 吨二氧化碳当量，较上一年（728.415 吨二氧化碳当量）减少20.2%，达到XX年度减量目标（-0.35%）"
001007004,公司为了减少碳排放采取的措施,"企业需要披露采取了什么措施来减少温室气体的排放，例如设备升级改造、更换能源类型等。这里一定需要提到具体的措施。
注意：
1. 为减少温室气体排放而采取的减少能耗、更换运输模式、更换能源类型等措施可接受，但需明确其结果为减少温室气体排放。
2. 仅披露减少的碳排放量则不能视为减排措施。

措施类：
包括实施的具体技术，方法，案例，项目等；具有针对性，通常有明显的时间标志，或是已完成的，一次性的，并且会与采取措施后的结果一同披露"
001007008,公司开发或应用碳捕集与封存技术的情况,"碳捕集与封存是指将大型发电厂所产生的二氧化碳（CO2）收集起来，并用各种方法储存以避免其排放到大气中的一种技术。
企业如有以下表述之一即可摘录：
1. 企业披露已有关于碳捕集与封存技术的研究，并有运用碳捕集与封存技术的规划
2. 企业披露已进行碳捕集与封存技术的运用，并有不断扩大碳捕集与封存技术运用范围的规划
3. 企业披露使用碳捕集与封存技术的案例及措施及相应的环境效益
"
001007009,公司通过碳交易获益的情况,"需要出现关键词“碳交易”，企业如有以下表述之一即可摘录：
1. 企业披露已有对碳交易的筹备和研究，并有相关的规划；
2. 企业披露已通过碳交易获得收益；
3. 企业披露碳交易方面的相关案例及措施及相应的环境效益。

背景知识：
碳交易是一种应对全球变暖气候危机的解决方案，以一定的法律和规则为约束和依据，给碳排放量定价，把它包装成一种资产或者说“商品”，建立相应的市场进行交易买进卖出，以此来控制碳排放,促进温室气体（主要是二氧化碳）排减。它对应的市场环境叫做碳交易市场，碳交易市场是由包括交易主体（控排企业）、交易产品（碳排放权）、交易流程、交易活动及监管活动（政府监督）等在内的核心要素所组成的规则化体系。
国内当前碳交易市场主要涉及两类基础产品：一类为政府分配给企业的碳排放配额（CEA），另一类为核证自愿减排量（CCER）。前者是配额交易，是政府将碳排放配额分配给企业，若企业实际碳排放量小于政府分配的配额，则企业可以通过卖出多余碳配额从而获得收益。后者是前者的补充，在配额交易之外引入自愿减排市场交易，即 CCER 交易。CCER 交易指控排企业向开展“碳抵消”活动的企业购买可用于抵消控排企业自身碳排的核证量。（“碳抵消”活动是指用于减少温室气体排放或者吸收温室气体排放的项目，比如开展可再生能源项目、培育森林资源来吸收温室气体的“自然碳汇”，或者通过碳捕集、利用和封存技术的“技术碳汇”）
案例包括：1）排放显著的控排企业购买碳排放配额补充可排放的上限；2）开展“碳抵消”项目的企业获得 CCER 签发，并出售 CCER 给排放显著的控排企业，从而获得收益；3）发电企业非水可再生能源的上网电量获得绿证；4）企业购买绿证抵消范畴二温室气体排放。"
001007010,公司对于火炬气的排放及回收的管理措施,"企业如有以下表述之一即可摘录：
1. 企业披露已有关于火炬气的排放及回收的管理政策。
2. 业披露了关于火炬气的排放及回收的相关案例及措施。

背景知识：
火炬气是一种在工业工厂，例如石油精炼厂，化工厂和天然气加工厂中使用的气体燃烧装置运营后排放的气体。它们在具有油井，气井，海上石油和天然气钻机以及垃圾填埋场的石油或天然气开采场所中也很常见。"
001008006,公司对负责气候变化问题管理的委员会或管理架构的设置情况,"企业披露需要包括以下内容：
1. 企业机构是否已将气候相关职责分派到管理职位或管理委员会
2. 如果是，该等管理职位或管理委员会是否向董事会或董事会下设委员会报告，并且该等职责是否包含评估和/或管理气候相关问题
3. 对相关企业结构的描述
4. 管理层获知气候相关问题的流程
5. 管理层如何（通过具体职位和/或管理委员会）监控气候相关问题。"
001008005,董事会对气候变化风险与机遇的识别、评估的参与情况,"企业披露需要包括以下内容：
1. 董事会或董事会下设委员会（例如审计、风险或其它委员会）获知气候相关问题的流程和频率
2. 董事会或董事会下设委员会在审查和指导战略、重要行动计划、风险管理政策、年度预算和商业计划以及制定组织机构的业绩目标、监控实施和执行情况、以及监督重要资本支出、收购和资产剥离时是否考虑了气候相关问题
3. 董事会如何监督和监控在处理气候相关问题时其目标的实现情况。
注意：
1. 成员里只有一个董事的不算"
001008001,[2020年度数据起停止维护]公司对气候变化产生的风险与机遇的识别情况,
001008001001,公司识别和评估气候相关风险的流程,"企业需要披露如何评估自身气候变化相关的风险，可包括：
1. 识别和评估相关风险的部门及工作状况
2. 评估已识别的气候相关风险的潜在规模和范围的流程。
常用的框架为TCFD，例如企业在董事会/高层主管的支持下，依据TCFD执行气候相关风险/机会的识别与排序，并参与国际机构的气候风险与机会研究报告，透过跨组织评估气候变化风险与应急措施，找出因应急气候变化的潜在危机与可能机会。"
001008001007,公司识别、评估和管理气候相关风险的流程纳入进整体风险管理流程中,"企业需要披露已经将识别、评估和管理气候相关风险的流程纳入进整体风险管理流程中。
注意：
1. 仅提到打算或者将要纳入不能接受。"
001008001002,公司识别到的气候变化带来的物理方面的风险,"企业需要披露自身与气候变化相关的物理风险（认识到相关问题）。
物理风险分为急性风险和慢性风险，例如
急性风险包括-台风、洪水等极端天气事件严重程度提高；
慢性风险包括降雨量变化和天气模式极端波动平均气温上升，海平面上升。"
001008001002001,公司识别到的气候变化带来的短期/急性物理方面的风险,"企业需要披露已识别到的自身与气候变化相关的短期/急性物理风险。
当披露多个风险时必须摘录完整。
如台风，洪水等极端天气事件严重程度提高。"
001008001002002,公司识别到的气候变化带来的中长期/慢性物理方面的风险,"企业需要披露已识别到的自身与气候变化相关的中长期/慢性物理风险。
当披露多个风险时必须摘录完整。
如降雨量变化，天气极端波动，平均气温上升等。"
001008001003,公司识别到的气候变化带来的转型方面的风险,"企业需要披露自身与气候变化相关的转型风险（认识到相关问题）。
转型方面的风险分为政策和法律带来的风险，技术带来的风险，市场带来的风险，声誉带来的风险。例如：
政策和法律带来的风险：提高温室气体排放定价；强化排放量报告义务；现有产品和服务的要求与监管；面临诉讼风险（碳排放限额等等）
技术带来的风险：以低排放选择替代现有产品和服务；对新技术的失败投资；低排放技术转型的前端费用（能否发展相应技术来应对变化）
市场带来的风险：客户行为变化；市场信号不确定；原材料成本上涨（节能方面）
声誉带来的风险：消费者偏好转变；行业污名化；利益相关方对利益相关方负面反馈日益关切（国内暂时没有太大影响，国外如ego等等会产生较大影响）"
001008001003001,公司识别到的气候变化带来的政策及法规方面的风险,"企业需要披露已识别到的自身与气候变化相关的政策及法规方面的风险。
当披露多个风险时必须摘录完整。
如：提高温室气体排放定价；强化排放量报告义务；现有产品和服务的要求与监管；面临诉讼风险（碳排放限额等等）"
001008001003002,公司识别到的气候变化带来的技术方面的风险,"企业需要披露已识别到的自身与气候变化相关的技术方面的风险。
当披露多个风险时必须摘录完整。
如：以低排放选择替代现有产品和服务；对新技术的失败投资；低排放技术转型的前端费用（能否发展相应技术来应对变化）"
001008001003003,公司识别到的气候变化带来的市场方面的风险,"企业需要披露已识别到的自身与气候变化相关的市场方面的风险。
当披露多个风险时必须摘录完整。
如：客户行为变化；市场信号不确定；原材料成本上涨（节能方面）"
001008001003004,公司识别到的气候变化带来的声誉方面的风险,"企业需要披露已识别到的自身与气候变化相关的声誉方面的风险。
当披露多个风险时必须摘录完整。
如：消费者偏好转变；行业污名化；利益相关方对利益相关方负面反馈日益关切（国内暂时没有太大影响，国外如ego等等会产生较大影响）"
001008001004,公司识别到的气候变化带来的机遇,"企业需要披露自身与气候变化相关的机遇（认识到相关问题）。
机遇分为资源效率带来的机遇、能源来源带来的机遇、产品和服务带来的机遇、市场带来的机遇和适应力带来的机遇。例如：
资源效率带来的机遇：采用更高效的运输方式；更高效的生产和分销流程；使用循环技术；更高效的建筑物；减少用水量和耗水量
能源来源带来的机遇：低排放能源来源；支持性政策激励；新技术兴起；参与碳交易市场；能源安全和非集中化转变
产品和服务带来的机遇：开发和/或扩大低排放商品和服务；气候适应和保险风险解决方案；研发和创新；业务活动多元化；消费者偏好转变
市场带来的机遇：新市场准入；采用公共部门激励；社区需求和倡议；获得需要投保的新资产和场所适应力带来的机遇：参与可再生能源项目并采用能效措施；能源替代/多元化"
001008001005,气候变化风险及机遇对公司产生影响的时限,"企业需要披露识别出的气候变化风险及机遇产生影响的时限。可以是长期，短期或具体某一时间长度。

例如三天的暴雨天气可能会造成哄睡灾害，对于救生衣生产厂家会带来额外收益。"
001008001006,预期气候变化对公司造成的财务影响,企业需要披露气候变化可能对企业的收入、成本、资产/负债、权益、现金流等造成的财务影响
001008002,[2020年度数据起停止维护]公司对气候变化产生的风险与机遇的应对措施,
001008002001,公司对气候变化相关的物理风险采取的应对措施,"企业需要披露为了应对因气候变化带来的物理风险影响所采取的措施。企业需采取措施主动应对气候变化带来的影响，该指标点的前提是已识别出气候变化的物理风险。

例如临海、低海平面的设施转移"
001008002001001,公司对气候变化相关的短期/急性物理风险采取的应对措施,"企业需要披露为了应对因气候变化带来的短期/急性物理风险影响所采取的措施。企业需采取措施主动应对气候变化带来的影响，该指标点的前提是已识别出气候变化的短期/急性物理风险。
若披露多个风险应对措施时必须摘录完整。"
001008002001002,公司对气候变化相关的中长期/慢性物理风险采取的应对措施,"企业需要披露为了应对因气候变化带来的中长期/慢性物理风险影响所采取的措施。企业需采取措施主动应对气候变化带来的影响，该指标点的前提是已识别出气候变化的中长期/慢性物理风险。
若披露多个风险应对措施时必须摘录完整。"
001008002002,公司对气候变化相关的转型风险采取的应对措施,"企业需要披露为了应对因气候变化带来的转型风险影响所采取的措施。企业需采取措施主动应对气候变化带来的影响，该指标点的前提是已识别出气候变化的转型风险。

例如高能耗企业会面临国家管控、环境处罚等风险，因此企业实施优化能源结构，增加绿电和清洁能源使用比例的的措施。"
001008002002001,公司对气候变化相关的政策及法规风险采取的应对措施,"企业需要披露为了应对因气候变化带来的政策及法规风险影响所采取的措施。企业需采取措施主动应对气候变化带来的影响，该指标点的前提是已识别出气候变化的政策及法规风险。
若披露多个风险应对措施时必须摘录完整。"
001008002002002,公司对气候变化相关的技术风险采取的应对措施,"企业需要披露为了应对因气候变化带来的技术风险影响所采取的措施。企业需采取措施主动应对气候变化带来的影响，该指标点的前提是已识别出气候变化的技术风险。
若披露多个风险应对措施时必须摘录完整。"
001008002002003,公司对气候变化相关的市场风险采取的应对措施,"企业需要披露为了应对因气候变化带来的市场风险影响所采取的措施。企业需采取措施主动应对气候变化带来的影响，该指标点的前提是已识别出气候变化的市场风险。
若披露多个风险应对措施时必须摘录完整。"
001008002002004,公司对气候变化相关的声誉风险采取的应对措施,企业需要披露为了应对因气候变化带来的声誉风险影响所采取的措施。企业需采取措施主动应对气候变化带来的影响，该指标点的前提是已识别出气候变化的声誉风险。若披露多个风险应对措施时必须摘录完整。
001008002003,公司对气候变化相关的机遇采取的应对措施,"企业需要披露为了应对因气候变化而带来的机遇所采取的措施,这里强调的是企业采取措施主动应对气候变化带来的机遇。该指标点的前提是已识别出气候变化的带来的机遇。

例如：高效的能源设施能降低成本；加大以回收塑料为原料的产品的开发来满足新时代消费者对环保理念的追求"
001008002004,公司为减少气候变化问题对自身的影响或增加机遇带来的收益所投入的研发金额,企业需要披露针对减少气候变化问题对自身的影响或增加机遇带来的收益而在研发方面投入的金额。
001008004,公司对与TCFD的支持情况,
001008007001,公司对在全球升温2℃（或更低温度）的情景下，其面临的风险与机遇进行分析的实施情况,"企业披露需要包括以下内容：
1. 气候相关风险和机遇的影响将从哪些方面对其产生影响；
2. 为应对该等潜在的风险和机遇，应如何改变其战略； 
3. 纳入考虑的气候相关情景和相关期限。
这里如果他们已经通过SBTi（科学减排目标）进行情景分析，也可以摘录，因为设定SBTi目标是需要做情景分析。"
001008007002,公司在不同情景下的风险与机遇的分析结果,企业需要披露在相关气候变化情景下的模拟分析结果。
001008008,公司响应气候变化相关的公共政策（如碳中和）的相关政策或措施,"企业在相应当地关于气候变化相关公共政策的努力及措施，如果包括下列内容，都可以摘录：
1. 主要针对当地的气候变化倡议，标准，法律法规等的遵从
2. 与政策制定者进行互动推广相关政策的发布
3. 如果没有具体地方相关政策，可以考虑《巴黎协定》，《十四五规划》，《TCFD》等的相应情况"
001008023,公司对环境有正面影响的建筑材料的开发研究及其能源效益的披露情况,"企业在环保建筑材料方面的开发和研究的相关描述,这些研究发开发必需有这些材料能够发挥的能源效用的相关支持论述."
001008024,公司获得可持续建筑的相关认证的情况,"企业必须已经获得了相关认证。认证可能会有以下名称可以鉴别:
1. 中国的标准：《绿色建筑评价标准》，目前获得绿色建筑认证可以获得国家相应的补贴;
2. 美国的标准：LEED评价体系
3. 英国的标准：BREEAM评价体系
4. 法国的标准：HQE评价体系
5. 其他,例如日本的CASBEE、澳大利亚南的GREEN STAR、荷兰GreenCalc、德国DGNB、新加坡GREEN MARK、印度GRIHA (national green rating)、芬兰 PromisE、加拿大Green Globes、法国 HQE、巴西AQUA、香港 HKBEAM、意大利Protocollo Itaca、葡萄牙Lider A、西班牙:VERDE、台湾EEWH等。"
001009001,公司针对生物多样性保护的方针、政策、承诺或管理措施,"企业需要披露针对减少自身活动对生物多样性的处理方法或相应的管理制度（可接受方针、政策、承诺等概括性总述）
1. 对于管理方针，必须是明确提到“保护生物多样性”、“减少对生物多样性的影响”等包含“生物多样性”字眼的方针政策。类似“保护生态环境”、“守护绿水青山”等没有任何指向性的内容不可以接受。
2. 对于采取的措施，企业披露中不一定直接提到“生物多样性”，而是介绍具体的措施，可以参考下面提到的案例。A股目前常见的案例：采矿企业对于矿区的复垦（植被恢复）、发电厂和金属化工等行业对周边生物多样性的保护（减少对动植物的影响、防止水土流失、防止热排水导致的水温升高等）、农林牧渔行业对生物多样性的管理等。
注意:
1. 企业在自身活动范围外的生物多样性/生态环境保护活动与这个绩效点无关，例如一些植树活动、生物多样性学习活动等。这里的生物多样性管理一定是和企业自身活动导致的影响相关的，例如采矿导致的植被破坏、新建工厂导致的生物栖息地损失、农林牧渔企业对生物多样性造成的破坏等。

管理政策类：
包括相关的规定，原则，承诺，实施办法，企业的立场和态度等；长期有效，对于当下和未来有广泛的指导意义；通常在相关章节开头，较为简洁。
措施类：
包括实施的具体技术，方法，案例，项目等；具有针对性，通常有明显的时间标志，或是已完成的，一次性的，并且会与采取措施后的结果一同披露"
001009002,公司为保护土地资源不受破坏而制定的政策或采取的措施,"主要目的是为使得土地资源,包括耕地、林地、草地、工矿等进行保护,以不被人为破坏。区别于“恢复生物多样性的措施”,后者是在土地已受到破坏后去恢复的措施,而前者是有前瞻性地去做一些预防和控制。
土地资源保护的措施,包括但不限于:
1. 对需要开垦的土地，如山地、海涂等进行综合调查研究，做出全面安排和统筹规划，使海涂得到合理的开发和利用。
2. 对需要开发地土地进行因地制宜、合理耕种、保护培养，并要节约用地地设计,
3. 防治土地沙化、盐碱化；"
001009003,公司在所拥有的土地上开展的生态相关可持续发展项目,"企业需要披露在项目的初期计划阶段到运营阶段，主动考虑对项目所在地及周边生态环境的影响，并采取措施以提升项目的环保可持续性。
注意：
1. 企业需要强调到主动考虑。"
001009004,公司对因人类活动影响或自然突变导致生物多样性受损的区域开展恢复生物多样性措施的实施情况,"企业需要披露采取了什么措施来恢复生物多样性的措施。
例如：
1. 矿区生态破坏于重建(减少开采活动的直接破坏,减少废弃物堆积造成的破坏,减少污染物土壤污染等)
2. 内蒙古沙漠化的生态措施(防止牲畜进入,先锋植物种植等)
注意：
1. 这里一定需要提到已经造成生物多样性破坏的地区进行恢复生物多样性的具体措施。

措施类：
包括实施的具体技术，方法，案例，项目等；具有针对性，通常有明显的时间标志，或是已完成的，一次性的，并且会与采取措施后的结果一同披露"
001009005,公司与其他机构开展的保护生物多样性的项目情况,只要是在生物多样性方面的合作项目都可以
001009006,公司制定的为减少生物多样性影响的目标,"企业为了保护生物多样性,设定相应的目标,并进行管理"
001009007,公司对预备关闭使用的土地资源进行的生态影响评估和后续规划的实施情况,"企业披露在关闭业务过程中,场区可能带来的生态环境及土地资源的影响进行评估,并有效进行管理措施,避免带来生态负面影响."
001009008,公司为保护海洋资源采取的措施,"企业为了保护海洋资源而采取得一系列措施,包括但不限于以下内容:
1. 控制海上污染物的扩散
2. 加强海洋环境监测
3. 合理进行海洋资源开发
4. 自然保护区的建设
企业需要披露采取了什么措施保护海洋资源，这里一定需要提到具体的措施。"
001009009,公司加入RSPO的情况,
001009014,公司对禁运濒危动植物及相关产品的承诺或政策,企业需要披露对禁运濒危动植物及相关产品得承诺或政策
001009015,公司为预防森林火灾而采取的措施,企业需要披露了预防森林火灾而采取的措施即可摘录
002001001,公司关于禁止雇佣童工的政策、承诺或措施,企业需要披露禁止使用童工的承诺或采取的相关措施
002001002,公司关于禁止强迫劳动的政策、承诺或措施,企业需要披露禁止强迫劳动或现代反奴役政策的企业承诺或措施。
002001003,公司关于反对各类歧视的政策、承诺或措施,企业需要披露反对歧视的方针、管理措施或承诺。
002001004,公司对同一工作、不同人群推行公平待遇的政策、承诺或措施,"企业需要披露禁止在薪酬制度（福利）方面，针对不同人群（例如：性别差异。但职责差别除外）进行差别歧视的方针或管理措施。（同工同酬）
如果反歧视方针覆盖了薪酬福利环节的歧视也可接受。以岗定薪也可以接受。
注意：
1. 只提及公平公开，不可接受"
002001005,公司关于员工最低薪酬的政策、承诺或措施,"企业薪酬政策需要明确说明提供不低于当地法定的最低薪资。
注意：
1. 仅说明提供“有竞争力的薪酬”、“与工作相符的薪酬”等不符合要求。
2. 明确说明在薪酬待遇方面遵守劳动法或相关法律的情况可以摘录，但需要提到薪资待遇，如果仅说明遵守劳动法则不符合摘录要求。"
002001006,公司关于管理员工常规工作时间、加班工作时间的政策、承诺或措施,"企业需要披露对于工作时间的管理措施、方针或相关政策。需满足下列要求之一：
1. 遵循法律在工作时间方面的相关规定
2. 对于员工加班方面有提出管理制度
例如每周工作时间不超过40或80小时、工厂进行的轮班管理制度。"
002001007,公司对于员工依法享有的产假的执行情况,"企业需要披露产假的相关规定或执行情况，需要符合法律规定。
注意：
1. 需要提到“产假”等关键字，只提及符合劳动法中假期相关的规定不可接受。"
002001008,公司对于员工依法享有的陪产假的执行情况,"企业需要披露陪产假的相关规定或执行情况，需要符合法律规定。
注意：
1. 需要提到“陪产假、侍产假”等关键字，只提及符合劳动法中假期相关的规定不可接受"
002001009,公司对于员工依法享有的带薪假的执行情况,"企业需要披露带薪假的相关规定或执行情况，需要符合法律规定。
注意：
1. 需要提到“带薪假、年假、带薪病假”等关键字，只提及符合劳动法中假期相关的规定不可接受"
002001010,公司对于一般员工推行的激励政策或措施,"企业需要披露对于除了正常薪酬以外为员工设立的其他激励制度（钱或物资），例如，股权激励政策，创新人才奖励等。
注意：
1. 如果提到是绩效管理制度的话不接受。
2. 该政策对象是一般员工，针对董监高的激励政策不可接受。"
002001011,公司对于一般员工实施的年金保险或者补充养老保险制度的设置情况,"企业需要披露为员工缴纳年金保险或补充养老保险的制度。（依法参加基本养老保险基础除外）
注意：
1. 如果企业提供六险二金，可以接受"
002001012,公司管理层与员工之间的沟通渠道设置情况,"企业需要披露设置员工沟通渠道的情况。不同于员工举报制度，指的是员工与管理层之间直接进行的沟通渠道。目的在于能够让员工直接反应意见，保障自身权益。
常见的形式有：设立工会（作为员工组织，需要明确指出其具备像管理层沟通的功能）、员工座谈会、员工代表大会（明确指出有沟通渠道功能）、专门设立有意见收集与反馈渠道（有别于匿名举报制度）。
注意：
1. 由上至下的以问卷调查等形式展开的沟通方式不可接受，因为属于单向沟通，缺乏互动的过程。"
002001022,公司为减少员工加班采取的措施,企业需要披露强调是为了”减少加班“而采取的相关管理措施；可以是制定了减少加班的相关管理制度。
002001023,公司关于尊重员工自由结社权的政策、承诺或措施,企业需要披露允许或不干涉员工结社的自由。
002001024,公司关于尊重员工集体谈判的政策、承诺或措施,企业需要披露允许并尊重员工进行集体协商或组织参与机会的相关权利或制度。
002001025,公司为避免或应对职场欺凌及骚扰的相关措施,"企业需要针对工作场所中可能出现的欺凌或骚扰行为采取相关的管理措施，摘录内容里应包括”欺凌“或”骚扰“等词；相关措施可能有：
1.披露了关于工作场所欺凌或骚扰防治的政策及相关程序文件信息。
2.针对工作场所欺凌及骚扰防治采取的申诉通道或调查机制。
3.披露了关于工作场所欺凌及骚扰防治的相关宣传教育。
4.对管理层进行相关防治教育培训。"
002001026,公司对童工、强迫劳动等劳工相关风险评估的实施情况,"主要分为宏观和微观两个方面，宏观：针对整个企业的风险进行评估；微观：对单独的据点进行评估。
例如，强迫劳动，禁用童工；合理薪酬；骚扰及欺凌；歧视；信息保密等。如果企业有更全面的风险评估，也可进行摘录"
002001027,公司为员工提供的生育方面的福利政策或措施,"主要是基于国家政策以上提供的相关福利政策，例如为员工增加更长的产假或育儿假，育婴员工停薪留职方面的政策,开设幼儿园等。"
002001064,公司开展员工满意度调查的情况,企业需要披露企业开展员工满意度调查的具体措施和过程，仅说明已经开展员工满意度调查，或计划实施的情况也可摘录。
002002003,公司为了提升员工多样性而采取的相关措施或制度,企业需要披露针对提升员工多样性而采取的相关具体措施或制定的相关制度。一般包括：帮助女性员工的职业发展和培养/（跨国企业）促进文化交流/提升工作环境对残障人士的友好(增加无障碍设施）。
002002004,公司针对员工自我提升或职业发展开设的培训项目,企业需要披露为员工提供的相关培训项目体系或制订的政策。（摘录概括性的语句）
002002004001,公司为新员工提供的培训项目,企业需要为新进员工提供相关培训项目。
